Public ref. number,States (EN),Elect. group (EN),Region. group (EN),Year of inscription,Decision No.,Type of candidature,National or Multinational,Title (EN),Short description (EN)
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Africa; Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Africa; Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Africa; Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Africa; Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1718,Saudi Arabia; Algeria; Bahrain; Egypt; Iraq; Jordan; Kuwait; Lebanon; Mauritania; Morocco; Oman; Palestine; Sudan; Tunisia; United Arab Emirates; Yemen,Group V(b),Arab States,2021,16.COM 8.b.35,Representative List,Multinational,"Arabic calligraphy: knowledge, skills and practices","Arabic calligraphy is the artistic practice of handwriting Arabic script in a fluid manner to convey harmony, grace and beauty. Its fluidity offers infinite possibilities, even within a single word, since letters can be stretched and transformed to create different motifs. Arabic calligraphy is widespread in Arab and non-Arab countries and is practised by men and women of all ages. Originally intended to make writing clear and legible, it gradually became an Islamic Arab art for traditional and modern works. Skills are transmitted informally or through formal schools or apprenticeships."
1073,Andorra; Spain; France,Group I,Europe and North America,2015,10.COM 10.b.3,Representative List,Multinational,Summer solstice fire festivals in the Pyrenees,"The summer solstice fire festivals take place in the Pyrenees every year on the same night when the sun is at its zenith. Once night falls, people carry flaming torches from the mountains to light traditionally-constructed beacons. The descent is a special moment for young people, signifying the transition from adolescence to adulthood. It is also considered a time for regenerating social ties and strengthening feelings of belonging, identity and continuity with celebrations including popular folklore and communal dining."
1073,Andorra; Spain; France,Group I,Europe and North America,2015,10.COM 10.b.3,Representative List,Multinational,Summer solstice fire festivals in the Pyrenees,"The summer solstice fire festivals take place in the Pyrenees every year on the same night when the sun is at its zenith. Once night falls, people carry flaming torches from the mountains to light traditionally-constructed beacons. The descent is a special moment for young people, signifying the transition from adolescence to adulthood. It is also considered a time for regenerating social ties and strengthening feelings of belonging, identity and continuity with celebrations including popular folklore and communal dining."
1073,Andorra; Spain; France,Group I,Europe and North America,2015,10.COM 10.b.3,Representative List,Multinational,Summer solstice fire festivals in the Pyrenees,"The summer solstice fire festivals take place in the Pyrenees every year on the same night when the sun is at its zenith. Once night falls, people carry flaming torches from the mountains to light traditionally-constructed beacons. The descent is a special moment for young people, signifying the transition from adolescence to adulthood. It is also considered a time for regenerating social ties and strengthening feelings of belonging, identity and continuity with celebrations including popular folklore and communal dining."
258,Argentina; Uruguay,Group III,Latin America and the Caribbean,2009,4.COM 13.01,Representative List,Multinational,Tango,
258,Argentina; Uruguay,Group III,Latin America and the Caribbean,2009,4.COM 13.01,Representative List,Multinational,Tango,
1069,Argentina,Group III,Latin America and the Caribbean,2015,10.COM 10.b.4,Representative List,National,"Filete porte�o in Buenos Aires, a traditional painting technique","Filete porte�o from Buenos Aires is a traditional, decorative painting technique using vibrant colours and specific lettering styles that can be seen on buses, trucks, shop fronts and increasingly, homes. Incorporating social and religious elements often featuring popular icons of saints, admired politicians, music and sports idols, the practice has formed a component of the city's heritage. Sayings and proverbs can also be used. Filete craftspeople transmit the technique to anyone who wants to learn with no formal education required."
1600,Argentina,Group III,Latin America and the Caribbean,2020,15.COM 8.b.15,Representative List,National,Chamam�,"Chamam� is a form of cultural expression that is mainly practised in Corrientes province. Key elements include a style of 'close embrace' dancing, musiqueada social events, and sapukay, a typical cry accompanied by movements to convey emotions. The singing involved has its roots in religious songs. Originally, Chamam� was sung in Guarani, but it is now transmitted in a combination of Spanish and Guarani. Chamam� music and dancing are common features in community and family gatherings, religious celebrations, and other festive events."
92,Armenia,Group II,Europe and North America,2008,3.COM 1,Representative List,National,Duduk and its music,
434,Armenia,Group II,Europe and North America,2010,5.COM 6.1,Representative List,National,Armenian cross-stones art. Symbolism and craftsmanship of Khachkars,
743,Armenia,Group II,Europe and North America,2012,7.COM 11.2,Representative List,National,Performance of the Armenian epic of 'Daredevils of Sassoun' or 'David of Sassoun',"The traditional Armenia epic Daredevils of Sassoun recounts the story of David of Sassoun, a defiant youth who defended his homeland in an unequal duel against the evil. This heroic epic is recounted and sung in sections in a lyrical voice with rhythmic enunciation. It is performed, usually sitting, to the musical accompaniment of a duduk during weddings, birthdays, christenings and major national cultural events. There are 160 variants and performances may last up to two hours."
985,Armenia,Group II,Europe and North America,2014,9.COM 10.3,Representative List,National,"Lavash, the preparation, meaning and appearance of traditional bread as an expression of culture in Armenia","Lavash bread is a traditional thin bread that forms an integral part of Armenian cuisine. Its preparation requires great effort, coordination and special skills and strengthens family, community and social ties. Women work in groups to bake lavash, which is commonly served rolled around local cheeses, greens or meats. It plays a ritual role in weddings, where it is placed on the shoulders of newlyweds to bring fertility and prosperity. Men are also involved through making tools and building ovens."
1295,Armenia,Group II,Europe and North America,2017,12.COM 11.b.2,Representative List,National,"Kochari, traditional group dance","Kochari is a traditional dance that is widely performed during holidays, festive celebrations and family ceremonies. It is open to all participants and provides a sense of shared identity, solidarity and mutual respect. Non-formal transmission occurs within families and from older to younger people, while methods of formal transmission include educational programmes in youth arts centres, regular dance classes held and institutional initiatives. Experienced practitioners play a key role in efforts to safeguard the element and ensure its viability."
1513,Armenia,Group II,Europe and North America,2019,14.COM 10.b.1,Representative List,National,Armenian letter art and its cultural expressions,"Armenian letter art and its cultural expressions represents the centuries-old art of Armenian writing, the rich culture of decorating letters, and its numerous applications. The element is distinguished by its wide range of ornamental scripts, characterized by different shapes such as birds, animals and mythical creatures. Beyond its primary function to record and communicate information, Armenian letter art has penetrated almost all layers of society, particularly folk art. Educational institutions at all levels, youth centres and the Armenian Apostolic Church play a key role in its transmission."
1571,Iran (Islamic Republic of); Armenia,Group II; Group IV,Europe and North America,2020,15.COM 8.b.31,Representative List,Multinational,Pilgrimage to the St. Thaddeus Apostle Monastery,"The annual three-day pilgrimage to St Thaddeus Apostle Monastery in northwestern Iran venerates two prominent saints: St Thaddeus, an Apostle of Christ, and St Santukhd, the first female Christian martyr. The pilgrimage is the primary social and cultural event of Iranian-Armenians and followers of the Armenian Apostolic Church. The commemoration ceremony includes special liturgies, processions, prayers, and fasting. It culminates in a Holy Mass. Special times are set aside for traditional Armenian folk performances and Armenian dishes are served during the event."
1571,Iran (Islamic Republic of); Armenia,Group II; Group IV,Asia and the Pacific,2020,15.COM 8.b.31,Representative List,Multinational,Pilgrimage to the St. Thaddeus Apostle Monastery,"The annual three-day pilgrimage to St Thaddeus Apostle Monastery in northwestern Iran venerates two prominent saints: St Thaddeus, an Apostle of Christ, and St Santukhd, the first female Christian martyr. The pilgrimage is the primary social and cultural event of Iranian-Armenians and followers of the Armenian Apostolic Church. The commemoration ceremony includes special liturgies, processions, prayers, and fasting. It culminates in a Holy Mass. Special times are set aside for traditional Armenian folk performances and Armenian dishes are served during the event."
726,Austria,Group I,Europe and North America,2012,7.COM 11.3,Representative List,National,"Schemenlaufen, the carnival of Imst, Austria","The city of Imst celebrates its Fasnacht carnival every four years on the Sunday before the Christian season of Lent. The central festivity is Schemenlaufen, a procession of masked, costumed dancers. The main characters wear bells and perform a special musical dance of jumps and bows. Masked chimney sweeps climb houses, witches shout at the audience accompanied by a band playing dissonant melodies, and bears demonstrate their strength. The carnival unites the whole population of Imst in a common goal: organizing the Fasnacht in accordance with long-standing tradition."
1106,Austria,Group I,Europe and North America,2015,10.COM 10.b.6,Representative List,National,Classical horsemanship and the High School of the Spanish Riding School Vienna,"Classical horsemanship at the Spanish Riding School Vienna is the traditional art and practice of breeding, keeping, training and riding Lipizzaner horses. The School's social practices, ceremonies and rituals are based on the long-lasting relationships between breeders, grooms, craftspeople, riders and horses. Knowledge of horse husbandry and use of equipment is transmitted to cadets by grooms and experienced riders. The tradition gives communities within the School a sense of identity and ensures the safeguarding of techniques on horse husbandry."
1169,Austria,Group I,Europe and North America,2016,11.COM 10.c.2,Register of Good Safeguarding Practices,National,Regional Centres for Craftsmanship: a strategy for safeguarding the cultural heritage of traditional handicraft,"For 15 years the Werkraum Bregenzerwald, Hand.Werk.Haus Salzkammergut, and Textiles Zentrum Haslach centres for craftsmanship in Austria, run by traditional craftspeople, have been working with international artists, educational and scientific bodies, and craft businesses to help safeguard their practices for future generations. Governed by associations, the centres offer training programmes for the public and exhibitions involving local and international artists, as well as forums for exchange and partnerships between practitioners and industry to safeguard the practices important to community identity."
1380,Switzerland; Austria,Group I,Europe and North America,2018,13.COM 10.b.35,Representative List,Multinational,Avalanche risk management,"Avalanche risk management has shaped the identity of Alpine populations, who over the centuries developed local empirical knowledge, management and risk-avoidance strategies and cultural practices to protect themselves from avalanche hazards. Nowadays, modern tools complement traditional knowledge, which continues to be developed on the ground by knowledge bearers. In both countries, preventing avalanches is a task involving the entire community; it forms an integral part of the everyday culture of the communities concerned and underscores the importance of solidarity in crisis situations."
1380,Switzerland; Austria,Group I,Europe and North America,2018,13.COM 10.b.35,Representative List,Multinational,Avalanche risk management,"Avalanche risk management has shaped the identity of Alpine populations, who over the centuries developed local empirical knowledge, management and risk-avoidance strategies and cultural practices to protect themselves from avalanche hazards. Nowadays, modern tools complement traditional knowledge, which continues to be developed on the ground by knowledge bearers. In both countries, preventing avalanches is a task involving the entire community; it forms an integral part of the everyday culture of the communities concerned and underscores the importance of solidarity in crisis situations."
1470,Austria; Greece; Italy,Group I,Europe and North America,2019,14.COM 10.b.2,Representative List,Multinational,"Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and in the Alps","Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and Alps, is a form of pastoralism. Every year in spring and autumn, thousands of animals are driven by groups of herders along steady routes from dawn to dusk. The practice comprises horizontal transhumance, in plain or plateau regions, and vertical transhumance, typically in mountain regions. The practice shapes relations among people, animals and ecosystems and involves shared rituals and social practices, and is one of the most sustainable, efficient livestock farming methods."
1470,Austria; Greece; Italy,Group I,Europe and North America,2019,14.COM 10.b.2,Representative List,Multinational,"Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and in the Alps","Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and Alps, is a form of pastoralism. Every year in spring and autumn, thousands of animals are driven by groups of herders along steady routes from dawn to dusk. The practice comprises horizontal transhumance, in plain or plateau regions, and vertical transhumance, typically in mountain regions. The practice shapes relations among people, animals and ecosystems and involves shared rituals and social practices, and is one of the most sustainable, efficient livestock farming methods."
1470,Austria; Greece; Italy,Group I,Europe and North America,2019,14.COM 10.b.2,Representative List,Multinational,"Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and in the Alps","Transhumance, the seasonal droving of livestock along migratory routes in the Mediterranean and Alps, is a form of pastoralism. Every year in spring and autumn, thousands of animals are driven by groups of herders along steady routes from dawn to dusk. The practice comprises horizontal transhumance, in plain or plateau regions, and vertical transhumance, typically in mountain regions. The practice shapes relations among people, animals and ecosystems and involves shared rituals and social practices, and is one of the most sustainable, efficient livestock farming methods."
39,Azerbaijan,Group II,Europe and North America,2008,3.COM 1,Representative List,National,Azerbaijani Mugham,
253,Azerbaijan,Group II,Europe and North America,2009,4.COM 13.02,Representative List,National,Art of Azerbaijani Ashiq,
389,Azerbaijan,Group II,Europe and North America,2010,5.COM 6.2,Representative List,National,Traditional art of Azerbaijani carpet weaving in the Republic of Azerbaijan,
671,Azerbaijan,Group II,Europe and North America,2012,7.COM 11.4,Representative List,National,"Craftsmanship and performance art of the Tar, a long-necked string musical instrument","The Tar is a long-necked plucked lute crafted and performed throughout Azerbaijan. It features in numerous traditional musical styles and is played at weddings and socials gatherings, festive events and concerts. The hollow body, made of mulberry wood, is shaped in the form of a figure eight and is held horizontally, while the eleven metal strings are plucked with a plectrum. Craftspeople pass on their skills to apprentices, and players transmit their skills by word of mouth and demonstration to young people within their community."
905,Azerbaijan,Group II,Europe and North America,2013,8.COM 7.a.1,Urgent Safeguarding List,National,"Chovqan, a traditional Karabakh horse-riding game in the Republic of Azerbaijan","Chovqan is a traditional horse-riding game played on a grassy field by two competing teams of five riders mounted on Karabakh horses. Players use wooden mallets to drive a small leather or wooden ball into their opponents' goal. The game is accompanied by instrumental folk music called ''janghi''. Chovqan strengthens feelings of identity rooted in nomadic culture. The practice and transmission of Chovqan have weakened, however, due to socio-economic factors leading to a shortage of players, trainers and Karabakh horses."
669,Azerbaijan,Group II,Europe and North America,2014,9.COM 10.4,Representative List,National,"Traditional art and symbolism of Kelaghayi, making and wearing women's silk headscarves","Kelaghayi making consists of weaving, dyeing and woodblock decoration. Weavers choose thin silk threads to make square-shaped cloths. The colours of the headscarves have symbolic meanings often tied to specific social occasions, such as weddings, mourning ceremonies, daily activities and celebrations. An expression of cultural identity and religious traditions and a symbol of social cohesion, making and wearing headscarves reinforce the role of women and strengthens the cultural unity of Azerbaijani society."
